"","scientificName","latitude","longitude","year","month","eventDate","basisOfRecord","DB","name","decimalLatitude","decimalLongitude"
"1","Helicoverpa armigera",-27.46667,153.0333,1978,6,"1978-06-24","PreservedSpecimen","ALA",NA,NA,NA
"2","Helicoverpa armigera",-19.56667,147.4,1954,6,"1954-06-17","PreservedSpecimen","ALA",NA,NA,NA
"3","Helicoverpa armigera",-19.56667,147.4,1954,6,"1954-06-17","PreservedSpecimen","ALA",NA,NA,NA
"4","Helicoverpa armigera",-27.7,151.933333333333,1977,6,"","PreservedSpecimen","ALA",NA,NA,NA
"5","Helicoverpa armigera",-17.15,145.116666666667,1970,6,"","PreservedSpecimen","ALA",NA,NA,NA
"6","Helicoverpa armigera",-19.7833333333333,147.233333333333,1954,6,"1954-06-08","PreservedSpecimen","ALA",NA,NA,NA
"7","Helicoverpa armigera",-27.46667,153.0333,1976,6,"","PreservedSpecimen","ALA",NA,NA,NA
"8","Helicoverpa armigera",-17.8666666666667,146.1,1965,6,"1965-06-15","PreservedSpecimen","ALA",NA,NA,NA
"9","Helicoverpa armigera",-19.56667,147.4,1954,6,"1954-06-17","PreservedSpecimen","ALA",NA,NA,NA
"10","Helicoverpa armigera",-17.15,145.116666666667,1970,6,"","PreservedSpecimen","ALA",NA,NA,NA
"11","Helicoverpa armigera",-33.8833333333333,151.216666666667,1914,6,"1914-06-22","PreservedSpecimen","ALA",NA,NA,NA
"12","Helicoverpa armigera",-14.8666667938232,125.83332824707,1988,6,"1988-06-02","PreservedSpecimen","ALA",NA,NA,NA
"13","Helicoverpa armigera",-15,125.35,1988,6,"1988-06-06","PreservedSpecimen","ALA",NA,NA,NA
"14","Helicoverpa armigera",-15.7666666666667,128.733333333333,1983,6,"1983-06-14","PreservedSpecimen","ALA",NA,NA,NA
"15","Helicoverpa armigera",-32.1,115.783333333333,1977,6,"1977-06-30","PreservedSpecimen","ALA",NA,NA,NA
"16","Helicoverpa armigera",-11.75,142.5833,1993,6,"1993-06-18","PreservedSpecimen","ALA",NA,NA,NA
"17","Helicoverpa armigera",-12.6666666666667,142.666666666667,1993,6,"1993-06-17","PreservedSpecimen","ALA",NA,NA,NA
"18","Helicoverpa armigera",-14.8666667938232,125.83332824707,1988,6,"1988-06-02","PreservedSpecimen","ALA",NA,NA,NA
"19","Helicoverpa armigera",-34.5,144.85,1982,6,"1982-06-02","PreservedSpecimen","ALA",NA,NA,NA
"20","Helicoverpa armigera",-33.8166666666667,151.033333333333,1974,6,"","PreservedSpecimen","ALA",NA,NA,NA
"21","Helicoverpa armigera",-33.8166666666667,151.033333333333,1974,6,"","PreservedSpecimen","ALA",NA,NA,NA
"22","Helicoverpa armigera",-33.8166666666667,151.033333333333,1974,6,"","PreservedSpecimen","ALA",NA,NA,NA
"23","Helicoverpa armigera",-33.8166666666667,151.033333333333,1964,6,"1964-06-10","PreservedSpecimen","ALA",NA,NA,NA
"24","Helicoverpa armigera",-33.8166666666667,151.033333333333,1975,6,"1975-06-05","PreservedSpecimen","ALA",NA,NA,NA
"25","Helicoverpa armigera",-33.8166666666667,151.033333333333,1975,6,"1975-06-23","PreservedSpecimen","ALA",NA,NA,NA
"26","",-35.873235,148.96234,2018,2,"2018-02-23","HumanObservation","ALA",NA,NA,NA
"27","Helicoverpa armigera",-24.4,150.516666666667,1937,2,"","PreservedSpecimen","ALA",NA,NA,NA
