"","scientificName","latitude","longitude","year","month","eventDate","basisOfRecord","DB","name","decimalLatitude","decimalLongitude"
"1","Helicoverpa punctigera",-19.56667,147.4,1973,6,"1973-06-19","PreservedSpecimen","ALA",NA,NA,NA
"2","Helicoverpa punctigera",-17.6666698455811,133.533325195313,1994,6,"1994-06-06","PreservedSpecimen","ALA",NA,NA,NA
"3","Helicoverpa punctigera",-17.6666698455811,133.533325195313,1994,6,"1994-06-06","PreservedSpecimen","ALA",NA,NA,NA
"4","Helicoverpa punctigera",-19.0666666666667,134.033333333333,1972,6,"1972-06-20","PreservedSpecimen","ALA",NA,NA,NA
"5","Helicoverpa punctigera",-27.01667,132.7167,1972,6,"1972-06-04","PreservedSpecimen","ALA",NA,NA,NA
"6","Helicoverpa punctigera",-31.26667,135.2333,1956,6,"1956-06-11","PreservedSpecimen","ALA",NA,NA,NA
"7","Helicoverpa punctigera",-34.9333333333333,138.6,1907,6,"1907-06-01","PreservedSpecimen","ALA",NA,NA,NA
"8","Helicoverpa punctigera",-20.3,118.6,1966,6,"1966-06-08","PreservedSpecimen","ALA",NA,NA,NA
"9","Helicoverpa punctigera",-20.3,118.6,1966,6,"1966-06-08","PreservedSpecimen","ALA",NA,NA,NA
"10","Helicoverpa punctigera",-20.3,118.6,1966,6,"1966-06-12","PreservedSpecimen","ALA",NA,NA,NA
"11","Helicoverpa punctigera",-20.3,118.6,1966,6,"1966-06-30","PreservedSpecimen","ALA",NA,NA,NA
"12","Helicoverpa punctigera",-20.3,118.6,1966,6,"1966-06-30","PreservedSpecimen","ALA",NA,NA,NA
"13","Helicoverpa punctigera",-20.3,118.6167,1966,6,"1966-06-09","PreservedSpecimen","ALA",NA,NA,NA
"14","Helicoverpa punctigera",-20.85,144.2,1935,6,"1935-06-10","PreservedSpecimen","ALA",NA,NA,NA
"15","Helicoverpa punctigera",-23.8,132.35,1969,6,"1969-06-14","PreservedSpecimen","ALA",NA,NA,NA
"16","Helicoverpa punctigera",-17.46667,133.4167,1929,6,"1929-06-06","PreservedSpecimen","ALA",NA,NA,NA
"17","Helicoverpa punctigera",-15.6499996185303,128.699996948242,1957,6,"1957-06-13","PreservedSpecimen","ALA",NA,NA,NA
"18","Helicoverpa punctigera",-15.46667,128.1,1953,6,"1953-06-30","PreservedSpecimen","ALA",NA,NA,NA
"19","Helicoverpa punctigera",-22.3166666666667,122.783333333333,1971,6,"1971-06-16","PreservedSpecimen","ALA",NA,NA,NA
"20","Helicoverpa punctigera",-22.3166666666667,122.783333333333,1971,6,"1971-06-21","PreservedSpecimen","ALA",NA,NA,NA
"21","Helicoverpa punctigera",-22.3166666666667,122.783333333333,1971,6,"1971-06-20","PreservedSpecimen","ALA",NA,NA,NA
"22","Helicoverpa punctigera",-22.3166666666667,122.783333333333,1971,6,"1971-06-26","PreservedSpecimen","ALA",NA,NA,NA
"23","Helicoverpa punctigera",-43.08333,147.2,1925,6,"","PreservedSpecimen","ALA",NA,NA,NA
"24","Helicoverpa punctigera",-12.7666666666667,130.95,1993,6,"1993-06-09","PreservedSpecimen","ALA",NA,NA,NA
"25","Helicoverpa punctigera",-18.3,127.583333333333,1993,6,"1993-06-03","PreservedSpecimen","ALA",NA,NA,NA
"26","Helicoverpa punctigera",-16.5833333333333,125.483333333333,1993,6,"1993-06-01","PreservedSpecimen","ALA",NA,NA,NA
"27","Helicoverpa punctigera",-28.7666666666667,114.616666666667,1996,6,"1996-06-16","PreservedSpecimen","ALA",NA,NA,NA
"28","Helicoverpa punctigera",-34.96667,138.5333,1957,6,"1957-06-15","PreservedSpecimen","ALA",NA,NA,NA
"29","Helicoverpa punctigera",-20.46667,115.5167,1912,6,"1912-06-28","PreservedSpecimen","ALA",NA,NA,NA
"30","Helicoverpa punctigera",-31.91667,116.1,1973,6,"1973-06-27","PreservedSpecimen","ALA",NA,NA,NA
"31","Helicoverpa punctigera",-20.4666666666667,115.516666666667,1912,6,"1912-06-28","PreservedSpecimen","ALA",NA,NA,NA
"32","Helicoverpa punctigera",-20.46667,115.5167,1912,6,"1912-06-20","PreservedSpecimen","ALA",NA,NA,NA
"33","Helicoverpa punctigera",-22.7833309173584,117.783302307129,1966,6,"","PreservedSpecimen","ALA",NA,NA,NA
"34","Helicoverpa punctigera",-20.7333333333333,139.483333333333,1980,6,"1980-06-25","PreservedSpecimen","ALA",NA,NA,NA
"35","Helicoverpa punctigera",-35.46667,138.35,1947,7,"1947-07-06","PreservedSpecimen","ALA",NA,NA,NA
"36","Helicoverpa punctigera",-34.66666794,138.5666962,1979,7,"1979-07-18","PreservedSpecimen","ALA",NA,NA,NA
"37","Helicoverpa punctigera",-17,145.433334350586,1970,7,"","PreservedSpecimen","ALA",NA,NA,NA
"38","Helicoverpa punctigera",-12.66667,132,1989,7,"1989-07-12","PreservedSpecimen","ALA",NA,NA,NA
"39","Helicoverpa punctigera",-28.7833333333333,137.4,1955,7,"1955-07-21","PreservedSpecimen","ALA",NA,NA,NA
"40","Helicoverpa punctigera",-29,137.016666666667,1955,7,"1955-07-22","PreservedSpecimen","ALA",NA,NA,NA
"41","Helicoverpa punctigera",-28.2833333333333,137.183333333333,1955,7,"1955-07-23","PreservedSpecimen","ALA",NA,NA,NA
"42","Helicoverpa punctigera",-23.7,133.8667,1982,7,"1982-07-02","PreservedSpecimen","ALA",NA,NA,NA
"43","Helicoverpa punctigera",-21.28333,118.4,1953,7,"1953-07-21","PreservedSpecimen","ALA",NA,NA,NA
"44","Helicoverpa punctigera",-34.8666666666667,138.7,1977,7,"1977-07-22","PreservedSpecimen","ALA",NA,NA,NA
"45","Helicoverpa punctigera",-21.28333,118.4,1953,7,"1953-07-21","PreservedSpecimen","ALA",NA,NA,NA
"46","Helicoverpa punctigera",-35.4666666666667,138.35,1947,7,"1947-07-06","PreservedSpecimen","ALA",NA,NA,NA
"47","Helicoverpa punctigera",-34.6666666666667,138.566666666667,1979,7,"1979-07-18","PreservedSpecimen","ALA",NA,NA,NA
"48","Helicoverpa punctigera",-33.4,151.35,1946,7,"1946-07-22","PreservedSpecimen","ALA",NA,NA,NA
"49","Helicoverpa punctigera",-33.4,151.35,1946,7,"1946-07-22","PreservedSpecimen","ALA",NA,NA,NA
